,Brewery,County,Full Address,Lat,Lng,State,Zip Code
1336,"Buffalo Brew Pub, Buffalo Brewpub",Erie,"6861 Main St, Williamsville NY",42.965322,-78.698031,NY,14221-5929
1337,Buffalo City Bar & Grille,Pinellas,"5631 Park St N, Saint Petersburg FL",27.822367,-82.753866,FL,33709-6310
1338,Buffalo Creek Winery,Morgan,"29003 Possum Trot Rd, Stover MO",38.285362,-93.053054,MO,65078-2309
1339,Buffalo Wild Wings,Lake,"2465 S Hwy 27, Clermont FL",28.537561,-81.737796,FL,34711-6876
1340,Buffalo Wings and Beer,Montgomery,"8035 Snouffer School Rd, Gaithersburg MD",39.160802,-77.163068,MD,20879-4729
1341,Bugeater Brewery,Dakota,"828 Northview Park Rd, Eagan MN",44.811572,-93.127551,MN,55123-3929
1342,Bugnutty Brewing Company,Brevard,"715 N Courtenay Pkwy, Merritt Island FL",28.369531,-80.700391,FL,32953-4651
1343,Bull & Bones Brewhaus & Grill,Montgomery,"100 Hubbard St, Blacksburg VA",37.209332,-80.399702,VA,24060-5724
1344,Bull & Bush Pub and Brewery,Denver,"4700 E Cherry Creek South Dr, Denver CO",39.7036,-104.932312,CO,80246-1819
1345,Bull City Burger and Brewery,Durham,"107 E Parrish St, Durham NC",35.995406,-78.899884,NC,27701-3318
1346,Bull City Ciderworks,Durham,"113 S Elizabeth St, Durham NC",35.990854,-78.89501,NC,27701-3770
1347,Bull Falls Brewery,Marathon,"901 E Thomas St, Wausau WI",44.951414,-89.617513,WI,54403-6450
1348,Bull Jagger Brewing Company,Cumberland,"1 Industrial Way No8, Portland ME",43.703224,-70.319765,ME,04103-1071
1349,Bull Pen,Blair,"Washington Ave, Tyrone PA",40.667377,-78.244966,PA,16686
1350,Bulldog Brewing Company,Lake,"1409 119th St, Whiting IN",41.679352,-87.495125,IN,46394-1714
1351,Bullet Proof Brands Co Inc,Sacramento,"11437 Sunrise Gold Cir, Ranchocordova CA",38.597606,-121.262174,CA,95742-6546
1352,Bullshooters,Ashland,"35 E Main St, Ashland OH",40.868634,-82.314185,OH,44805-2331
1353,Bummie's Pub & Grub,Licking,"155 N Cedar St, Newark OH",40.064594,-82.385842,OH,43055-6768
1354,Bunker Brewing Company,Cumberland,"122 Anderson St, Portland ME",43.667099,-70.255716,ME,04101-2546
1355,Bunn-o-matic Corporation,Sangamon,"1400 Adlai Stevenson Dr, Springfield IL",39.757519,-89.635312,IL,62703-4228
1356,Bunny's,Richland,"25333 Jackson St, Richland Center WI",43.331413,-90.526609,WI,53581-3900
1357,Buoy Beer Co.,Clatsop,"2 7th St, Astoria OR",46.191372,-123.835604,OR,97103-4200
1358,Bur Oak Brewing Co,Boone,"8250 E Trade Center Dr, Columbia MO",38.954862,-92.211292,MO,65201-7635
1359,Burdick Brewery,King,"8103 8th Ave S, Seattle WA",47.530309,-122.322864,WA,98108-4377
1360,Burford Distributing Inc,Sebastian,"925 S H St, Fort Smith AR",35.375529,-94.424031,AR,72901-4553
1361,"Burial Beer Co., Burial Beer Co",Buncombe,"40 Collier Ave, Asheville NC",35.588052,-82.554111,NC,28801-4024
1362,Burke Beverage Inc,Cook,"4900 Vernon St, La Grange IL",41.801061,-87.844641,IL,60525
1363,Burley Oak,Worcester,"10016 Old Ocean City Blvd, Berlin MD",38.333937,-75.216914,MD,21811-1145
1364,Burlington Beer Co,Chittenden County,"25 Omega Doctor 150, Williston VT",44.437485,-73.068184,VT,
1365,Burlington Brew Tours,Chittenden,"Church St, Burlington VT",44.475326,-73.212441,VT,05401
1366,Burn Pad,Jefferson,"1221 S 3rd St, Louisville KY",38.234103,-85.758809,KY,40203-2905
1367,Burnbro's Brewery and House of 1000 Smoked Meats,Fairfield,"Leslie Rd, Bridgeport CT",41.215647,-73.226667,CT,06606
1368,Burning Brothers Brewing,Ramsey,"1750 Thomas Ave, Saint Paul MN",44.959246,-93.174206,MN,55104-2250
1369,Burns Construction,Penobscot,"111 Oak Grove Dr, Brewer ME",44.793578,-68.741695,ME,04412-1200
1370,"Burnside Brewing Co., Burnside Brewing Company",Multnomah,"701 E Burnside St, Portland OR",45.522919,-122.658387,OR,97214-1218
1371,Burnt Bridge Tavern,Vilas,"5920 County Road K W, Conover WI",46.0407,-89.332702,WI,54519-9258
1372,Burnt City Brewing Company,Cook,"2747 N Lincoln Ave, Chicago IL",41.931644,-87.657395,IL,60614-1320
1373,Burnt Hickory Brewery,Cobb,"2260 Moon Station Ct N W, Kennesaw GA",34.033027,-84.616905,GA,30144-2713
1374,Burroughs Tavern,Livingston,"5311 Brighton Rd, Brighton MI",42.527727,-83.845939,MI,48116-9726
1375,Busch Agricultural Resources,Clay,"2101 26th St S, Moorhead MN",46.851411,-96.736287,MN,56560-5901
1376,Bushnell Craft Brewing Company,King,"8461 164th Ave N E, Redmond WA",47.677928,-122.121592,WA,98052-3802
1377,Bushwhackers,Trumbull,"825 N River Rd N W, Warren OH",41.266009,-80.83544,OH,44483-2134
1378,Buskey Cider,Henrico,"2910 W Leigh St, Richmond VA",37.565949,-77.469326,VA,23230-4528
1379,Busse's Markway Tavern Inc,Dane,"2005 N Sherman Ave, Madison WI",43.120744,-89.363697,WI,53704-3930
1380,Busted Knuckle Saloon The,Summit,"1221 S Arlington St, Akron OH",41.03879,-81.491293,OH,44306-3565
1381,Busted Sandal Brewery,Bexar,"7114 Oaklawn Dr, San Antonio TX",29.499323,-98.556009,TX,78229-3021
1382,Buster's Bar and Grill,Lucas,"2704 Nebraska Ave, Toledo OH",41.645496,-83.608057,OH,43607-3243
1383,Buster's Cocktail Lounge,Pinellas,"2340 State Road 580, Clearwater FL",28.01941,-82.740898,FL,33763-1131
1384,Butcherknife Brewing Company,Routt,"2875 Elk River Rd, Steamboat Springs CO",40.510614,-106.857579,CO,80487-5076
1385,Butcher's Brewing,San Diego,"9963 Prospect Ave, Santee CA",32.831385,-116.980482,CA,92071-4320
1386,Butler Vineyards,Monroe,"6200 E Robinson Rd, Bloomington IN",39.245196,-86.44914,IN,47408-9380
1387,Butler Winery & Vineyard,Monroe,"1022 N College Ave, Bloomington IN",39.176709,-86.534734,IN,47404-3550
1388,Butte Brewing Company,Silver Bow,"465 E Galena St, Butte MT",46.012396,-112.525556,MT,59701-1905
1389,Butternuts Beer & Ale,Otsego,"4021 State Highway 51, Garrattsville NY",42.622485,-75.193359,NY,13342-1705
1390,Buttonwood Farm Winery & Vnyrd,Santa Barbara,"1500 Alamo Pintado Rd, Solvang CA",34.622374,-120.118531,CA,93463-9756
1391,Buttonwood Grove Winery,Seneca,"5986 State Route 89, Romulus NY",42.734556,-76.767543,NY,14541-9565
1392,Buzz & Brew Shop,Jackson,"212 Main St, Black River Falls WI",44.295037,-90.850014,WI,54615-1747
1393,Buzzard's Bay Brewing Inc,Bristol,"98 Horseneck Rd, Westport MA",41.56699,-71.05436,MA,02790-1328
1394,Bxl Cafe,New York County,"125 W 43rd Saint (6th Ave/broadway), New York NY",40.713054,-74.007228,NY,
1395,Byesville Aseptics Inc,Guernsey,"100 Hope Ave, Byesville OH",39.981932,-81.550988,OH,43723-9460
1396,Byington Vineyard & Winery,Santa Cruz,"21850 Bear Creek Rd, Losgatos CA",37.170975,-122.054873,CA,95033-9438
1397,C & D Brewing Co of Ardmore,Montgomery,"60 Greenfield Ave, Ardmore PA",40.008449,-75.297541,PA,19003-1204
1398,C B S Distributing Inc,Mecklenburg,"645 Pressley Rd, Charlotte NC",35.187182,-80.891588,NC,28217-4600
1399,C C American Tap,Hamilton,"526 E 2nd St, Webster City IA",42.469346,-93.804592,IA,50595-1712
1400,C M Brewing Technologies,Riverside,"43084 Rancho Way, Temecula CA",33.504153,-117.159461,CA,92590-3459
1401,C&v Tree Removal Service,Penobscot,"7 Silk St, Brewer ME",44.798825,-68.756771,ME,04412-1817
1402,C.b. & Potts,Adams,"1257 W 120th Ave, Westminster CO",39.914095,-105.000867,CO,80234-2725
1403,C.o.b. Brewery,Bucks,"2140 Richland Ter, Quakertown PA",40.416399,-75.365048,PA,18951-2670
1404,Cabarrus Brewing Company,Cabarrus,"329 Mcgill Ave, Concord NC",35.416133,-80.603319,NC,28027-6149
1405,Cabbage Patch,Boone,"2319 Grindstone Pkwy, Columbia MO",38.914005,-92.304421,MO,65201-8286
1406,Caboose Brewing Company,Fairfax,"520 Mill St N E, Vienna VA",38.907489,-77.269901,VA,22180-4526
1407,Cactus Club Bar and Grill,Columbia,"102 E Cook St, Portage WI",43.540014,-89.459321,WI,53901-2205
1408,Cacys Brew,Glynn,"233 Edwards Plz, Saint Simons Island GA",31.164049,-81.387663,GA,31522-2523
1409,Cadbury Schweppes,Mclennan,"100 Aviation Pkwy, Waco TX",31.618017,-97.053404,TX,76705-4962
1410,Cadence Winery,King,"9320 15th Ave S, Seattle WA",47.519453,-122.312396,WA,98108-5104
1411,Cadillac Party Lounge,Wexford,"516 N Mitchell St, Cadillac MI",44.25418,-85.402565,MI,49601-1466
1412,Cafe Bellagio,Clark,"3600 Las Vegas Blvd S, Las Vegas NV",36.113963,-115.173,NV,89109-4303
1413,Cafe Karibo & Karibrew Brew Pub,Nassau,"27 N 3rd St, Fernandina Beach FL",30.671566,-81.462933,FL,32034-4111
1414,Cage Brewing,Pinellas,"2001 1st Ave S, St. Petersburg FL",27.770205,-82.66042,FL,33712-1201
1415,Cahaba Brewing Co,Jefferson,"2616 3rd Ave S, Birmingham AL",33.514293,-86.793577,AL,35233-2619
1416,Cajun Brewing,Lafayette,"206 Rayburn St, Lafayette LA",30.215328,-92.049902,LA,70506-4130
1417,Calapooia Brewing Company,Linn,"140 N E Hill St, Albany OR",44.639244,-123.093636,OR,97321-3002
1418,Caldera Brewing Company,Jackson,"540 Clover Ln, Ashland OR",42.184351,-122.664057,OR,97520-3709
1419,Caldera Tap House,Jackson,"31 Water St, Ashland OR",42.198412,-122.715284,OR,97520-1815
1420,California Pizza Kitchen,Salt Lake,"6227 S State St, Murray UT",40.634089,-111.889237,UT,84107-7206
1421,Call To Arms Brewing Company,Denver,"4526 Tennyson St, Denver CO",39.778871,-105.043982,CO,80212-2527
1422,Callisto's Castle,Montgomery,"Central Ave, Glenside PA",40.118129,-75.159795,PA,19038
1423,Call-the Void Brewing Project,Fayette County,"514 N Hill Dale Rd, Lexington KY",38.046356,-84.497021,KY,
1424,Calvert Brewing Company,Prince Georges,"15850 Commerce Ct, Upper Marlboro MD",38.885105,-76.73129,MD,20774-7403
1425,Camacho's Bar,Milwaukee,"631 S 6th St, Milwaukee WI",43.024608,-87.918226,WI,53204-1525
1426,Camaleon Night Club & Restaurant,Cobb,"723 Sandtown Rd S W, Marietta GA",33.934897,-84.555835,GA,30008-3034
1427,Camaraderie Cellars,Clallam,"334 Benson Rd, Portangeles WA",48.100842,-123.47656,WA,98363-8492
1428,Cambrian Brewing Co,Santa Clara,"4250 Leigh Ave, San Jose CA",37.255997,-121.921776,CA,95124-3617
1429,Cambridge Brewing Company,Middlesex,"1 Kendall Sq, Cambridge MA",42.367185,-71.091249,MA,02139-1500
1430,Cambridge Recreation Centre,Dorchester,"504 Poplar St, Cambridge MD",38.570195,-76.077326,MD,21613-1834
1431,Camden Wholesale Inc,Ouachita,"416 E Washington Ave, Camden AR",33.587738,-92.825018,AR,71701-4024
1432,Camille's - On The River,Isabella,"506 W Broadway St, Mount Pleasant MI",43.604489,-84.781696,MI,48858-2441
1433,Campbell Brewing Company,Santa Clara,"200 E Campbell Ave, Campbell CA",37.287052,-121.946388,CA,95008-2010
1434,Campbell's Tree Service,Penobscot,"261 Wiswell Rd, Brewer ME",44.757564,-68.732512,ME,04412-5315
1435,Campus Pub,Marathon,"1110 W Campus Dr, Wausau WI",44.988142,-89.650188,WI,54401-1876
1436,Canal's Liquor Store,Camden,"5360 Route 38, Merchantville NJ",39.935445,-75.061579,NJ,08109-4808
1437,Canandaigua Brew Co,Ontario,"14 Phoenix St, Canandaigua NY",42.886177,-77.279401,NY,14424-2023
1438,Candle Closet,Penobscot,"40 Chamberlain St, Brewer ME",44.797015,-68.75812,ME,04412-1902
1439,Candle Light Tavern Payphone,Denver,"383 S Pearl St, Denver CO",39.709534,-104.980391,CO,80209-2019
1440,Cannonball Creek Brewing Company,Jefferson,"393 Washington Ave, Golden CO",39.762364,-105.22789,CO,80403-1429
1441,Canteen Brewhouse,Bernalillo,"2381 Aztec Rd N E, Albuquerque NM",35.120174,-106.617882,NM,87107-4207
1442,Canteen Modern Tequila Bar,Maricopa,"640 S Mill Ave, Tempe AZ",33.423858,-111.940056,AZ,85281-3656
1443,Canterbury Ale Works,Merrimack,"305 Baptist Hill Rd, Canterbury NH",43.386037,-71.514555,NH,03224-2509
1444,Cantina,Dekalb,"2075 W Park Place Blvd, Stone Mountain GA",33.818324,-84.119691,GA,30087-3531
1445,Canton Brew Works,Wayne,"8521 N Lilley Rd, Canton MI",42.34824,-83.459942,MI,48187-2092
1446,Canton Brewing Company,Stark,"120 3rd St N W, Canton OH",40.799893,-81.374419,OH,44702-1516
1447,Can-usa,Penobscot,"6 State St, Brewer ME",44.797964,-68.762377,ME,04412-2623
1448,Canyon Distributing Co,Mohave,"2682 N Oatman Rd, Kingman AZ",35.134191,-114.115633,AZ,86413-7701
1449,Canyon Distributing Co.,Yavapai,"10190 E Valley Rd, Prescott Valley AZ",34.584006,-112.286031,AZ,86314-2334
1450,Cape Ann Brewing Co,Essex,"27 Commercial St, Gloucester MA",42.610355,-70.666138,MA,01930-5033
1451,Cape Ann Brewing Company Brewpub,Essex,"11 Rogers St, Gloucester MA",42.611389,-70.665315,MA,01930-5014
1452,Cape Cod Beer Inc,Barnstable,"1336 Phinneys Ln, Barnstable MA",41.678245,-70.311776,MA,02601-1877
1453,Cape May Brewing Co,Cape May,"1288 Hornet Rd, Riogrande NJ",39.002899,-74.912899,NJ,08242-2210
1454,Capella Flavors Inc,San Diego,"1291 Linda Vista Dr, Sanmarcos CA",33.137203,-117.1944,CA,92078-3831
1455,Capistrano Brewing Co,Orange,"2000 Main Saint A, Irvine CA",33.684671,-117.850571,CA,92614-7202
1456,Capistrano Brewing Co.,Orange,"31738 Rancho Viejo Rd, San Juan Capistrano CA",33.501779,-117.653555,CA,92675-2771
1457,Capital Ale House,Chesterfield,"13831 Village Place Dr, Midlothian VA",37.503787,-77.656693,VA,23114-3503
1458,Capital Beverage Co,Butte,"71 Loren Ave, Chico CA",39.7018,-121.790199,CA,95928-7434
1459,Capital Brewery & Bier Garten,Dane,"7734 Terrace Ave, Middleton WI",43.094525,-89.516818,WI,53562-3163
1460,Capitol City Brewing Co,Baltimore City,"301 Light St, Baltimore MD",39.285066,-76.613129,MD,21202-1000
1461,Capitol City Brewing Company,District Of Columbia,"1100 New York Ave N W, Washington DC",38.900769,-77.027646,DC,20005
1462,"Capitol City Brewing Company, Capitol City Brewing Company - Arlington",Arlington,"4001 Campbell Ave, Arlington VA",38.840879,-77.086667,VA,22206-3439
1463,Capitol Pub,Dallas,"5221 Capitol Ave, Dallas TX",32.814555,-96.778755,TX,75206-6938
1464,Cap'n Cork Liquors,Union,"1344 Stuyvesant Ave, Union NJ",40.702616,-74.263457,NJ,07083-5381
1465,Cap-n-cork Home Brewing Supplys,Macomb,"16776 21 Mile Rd, Macomb MI",42.642204,-82.954887,MI,48044-2601
1466,Cap-n-corks,Eau Claire,"3188 London Rd, Eauclaire WI",44.786261,-91.463183,WI,54701-6836
1467,Caps Sports Bar & Grill,Summit,"1260 E Tallmadge Ave, Akron OH",41.101923,-81.469174,OH,44310-3607
1468,Cap's Tavern,Penobscot,"494 1/2 S Main St, Brewer ME",44.773078,-68.779981,ME,04412-2424
1469,Captain Lawrence Brewing Company,Westchester,"444 Saw Mill River Rd, Elmsford NY",41.069237,-73.815936,NY,10523-1006
1470,Captain's Market,Penobscot,"500 S Main St, Brewer ME",44.774249,-68.779512,ME,04412-2424
1471,Caravan Ingredients,Jackson,"13840 Botts Rd, Grandview MO",38.872925,-94.545308,MO,64030-2856
1472,Carbondale Craft Beer Llc,Jackson County,"137 Bluff Winery Rd, Ava IL",37.89021,-89.497852,IL,
1473,Carillon Brewing Co.,Montgomery,"1000 Carillon Blvd, Dayton OH",39.730338,-84.200596,OH,45409-2023
1474,Carlin Lake Lodge,Vilas,"12338 Carlin Club Dr, Presque Isle WI",46.200211,-89.780018,WI,54557-9372
1475,Carlisle Beverage,Cumberland,"770 S West St, Carlisle PA",40.191845,-77.195013,PA,17013-4116
1476,Carl's Bad Tavern,Tarrant,"7949 Jacksboro Hwy, Lake Worth TX",32.820372,-97.46576,TX,76135-4305
1477,Carlson Vineyards Winery,Mesa,"461 35 Rd, Palisade CO",39.071727,-108.403927,CO,81526-9518
1478,Carlyle Brewing Co.,Winnebago,"215 E State St, Rockford IL",42.269129,-89.090453,IL,61104-1010
1479,Carmen's Bar Grill,Dallas,"100 S Beaver Ave, Bouton IA",41.852155,-94.008813,IA,50039-7730
1480,Carmi Flavors,Bremer,"2100 4th St S W, Waverly IA",42.705107,-92.475678,IA,50677-4339
1481,Carmody East Auto Center Inc,Rensselaer,"4732 Ny Route 7, Hoosick Falls NY",42.853972,-73.344438,NY,12090-3820
1482,Carmody Irish Pub and Brewing,Saint Louis,"308 E Superior St, Duluth MN",46.790066,-92.094136,MN,55802-2120
1483,Carney's Pub and Tavern,New Castle,"1313 Mckennans Church Rd, Wilmington DE",39.732423,-75.665948,DE,19808-2132
1484,Carole's,Scott,"2735 Telegraph Rd, Davenport IA",41.519194,-90.621316,IA,52804-4332
1485,Carolina Ale House,Onslow,"1649 Western Blvd, Jacksonville NC",34.790527,-77.405511,NC,28546-7286
1486,Carolina Bar Supplies Dstrbtng,Mecklenburg,"645 Pressley Rd L, Charlotte NC",35.187182,-80.891588,NC,28217-4600
1487,Carolina Bauernhaus Ales,Anderson,"115 Federal St, Anderson SC",34.505789,-82.652003,SC,29625-4364
1488,Carolina Brewery,Orange,"460 W Franklin St, Chapelhill NC",35.910466,-79.062656,NC,27516-2313
1489,Carolina Origins Brewery,Durham,"510 S Lasalle St, Durham NC",36.011023,-78.948543,NC,27705-3706
1490,Carolina Winery,Duplin,"342 Yellowcut Rd, Rosehill NC",34.838691,-78.029871,NC,28458
1491,Cartel Brewery,Maricopa,"225 W University Dr, Tempe AZ",33.421919,-111.94271,AZ,85281-3641
1492,Cartel Coffee Lab,Maricopa,"7124 E 5th Ave, Scottsdale AZ",33.498239,-111.927735,AZ,85251-3208
1493,Carter's Brewery and Tap Room,Yellowstone,"2526 Montana Ave B, Billings MT",45.78255,-108.502175,MT,59101-2313
1494,Carters Brewing,Yellowstone,"2526 Montana Ave, Billings MT",45.78255,-108.502175,MT,59101-2313
1495,Carton Brewing,Monmouth,"6 E Washington Ave, Atlantic Highlands NJ",40.411613,-74.038232,NJ,07716-1230
1496,Cary Ale House & Brewing Company,Mchenry,"208 W Main St, Cary IL",42.208637,-88.243078,IL,60013-2721
1497,Casa De Toledo Ii,Hudson,"205 Hudson St, Hoboken NJ",40.738568,-74.02942,NJ,07030-5802
1498,Casa Del Oi Y Luna,,"253 Frankfort Square Columbus Oh 43206, Columbus OH",39.94586,-83.00045,OH,43206
1499,Casa Mias Restuarant,Baltimore,"17417 York Rd, Parkton MD",39.604179,-76.658469,MD,21120-9707
1500,Casa Montego Inc,Niagara,"37 Heath St, Lockport NY",43.167469,-78.718874,NY,14094-1901
1501,Cascade Convenience Center,City and Borough of Sitka,"1211 A Smc, Sitka AK",57.053291,-135.334679,AK,
1502,Cascade Lakes Brewing,Deschutes,"1441 S W Chandler Ave, Bend OR",44.041912,-121.332829,OR,97702-3208
1503,Cascade Mountain Winery,Dutchess,"835 Cascade Mountain Rd, Amenia NY",41.881952,-73.567655,NY,12501-5140
1504,Casey Brewing and Blending Llc,Garfield,"3421 Grand Ave, Glenwood Springs CO",39.515931,-107.3195,CO,81601-4406
1505,Casey's Restaurant,Philadelphia,"812 N Lansdowne Ave, Philadelphia PA",39.977368,-75.22737,PA,19131
1506,Cash Brewing Co,Kitsap,"3388 N W Byron Saint 100, Silverdale WA",47.64454,-122.695643,WA,98383-8548
1507,Cashmere Brewing Co LLC,Chelan,"215 Mission Ave, Cashmere WA",47.520923,-120.467145,WA,98815-1008
1508,Cask & Kettle Home Brew,Morris,"904 Main St, Boonton NJ",40.9059,-74.413067,NJ,07005-1431
1509,"Cask & Larder, Cask and Larder",Orange,"565 W Fairbanks Ave, Winter Park FL",28.593178,-81.356149,FL,32789-5005
1510,Caspar's Lounge,Milwaukee,"1300 W Keefe Ave, Milwaukee WI",43.081693,-87.927509,WI,53206-2955
1511,Cassidy's Hilltop Tavern,Rutland,"829 Arch St, Pittsford VT",43.706017,-73.026846,VT,05763-9818
1512,Castaways,Onondaga County,"916 County Rte 37, Brewerton NY",43.23728,-76.140443,NY,
1513,Castello Di Borghese Vineyards,Suffolk,"17150 County Rd 48, Cutchogue NY",41.01822,-72.506821,NY,11935-1041
1514,Castle Danger Brewery,Lake,"17 7th St, Two Harbors MN",47.019817,-91.672952,MN,55616-1672
1515,Castle Island Brewing,Norfolk,"Astor Ave, Norwood MA",42.16931,-71.19118,MA,02062
1516,Castle Rock Beer Company,Douglas,"514 Perry St, Castle Rock CO",39.374927,-104.858609,CO,80104-1711
1517,Castle Sports Bar & Restaurant,Essex,"189 Bloomfield Ave, Newark NJ",40.760009,-74.176158,NJ,07104-1115
1518,Catalina Steakhouse At Starr Pass Country Club,Pima,"3645 W Starr Pass Blvd, Tucson AZ",32.208988,-111.042088,AZ,85745-9596
1519,Catawba Brewery Tasting Room,Buncombe,"63 Brook St, Asheville NC",35.56611,-82.539588,NC,28803-2660
1520,Catawba Brewing Co,Buncombe,"Sweeten Creek Rd, Asheville NC",35.531252,-82.518353,NC,28803
1521,Catawba Brewing Company,Buncombe,"32 Banks Ave, Asheville NC",35.589277,-82.553515,NC,28801-4018
1522,Catawba Valley Brewing Co.,Burke,"212 S Green St, Morganton NC",35.744854,-81.685538,NC,28655-3525
1523,Caterpillar,Penobscot,"79 Robertson Blvd, Brewer ME",44.786104,-68.763998,ME,04412-2246
1524,Cathy Schubert,Iowa,"221 Commerce St, Mineral Point WI",42.859166,-90.177135,WI,53565-1202
1525,Cat's Place,Rockingham,"6551 Us 29 Bus, Reidsville NC",36.382588,-79.654501,NC,27320-8966
1526,Catskill Brewery,Sullivan County,"672 Old Rte 17, Rockland NY",41.945357,-74.912821,NY,
1527,Catty Corner,Lehigh,"301 Mulberry St, Catasauqua PA",40.652296,-75.468613,PA,18032-1818
1528,Caution Lakewood,Jefferson,"1057 S Wadsworth Blvd, Lakewood CO",39.697625,-105.081645,CO,80226-4307
1529,Caution: Brewing Co.,Denver,"12445 E 39th Ave, Denver CO",39.771074,-104.843377,CO,80239-3418
1530,Cavatappi Distribution,King,"5118 14th Ave N W, Seattle WA",47.666134,-122.373506,WA,98107-5115
1531,Cave Mountain Brewing Co.,Greene,"5359 State Route 23, Windham NY",42.307446,-74.251101,NY,12496-5906
1532,Cayey Bar,Philadelphia,"4100 N 5th St, Philadelphia PA",40.013483,-75.135518,PA,19140-2614
1533,Cayuga Ridge Estate Winery,Seneca,"6800 State Rte 89, Ovid NY",42.69438,-76.745861,NY,14521-9599
1534,Cb & Potts,Douglas,"43 Centennial Blvd, Highlands Ranch CO",39.562257,-104.988083,CO,80129-2323
1535,Cb Craft Brewers,Monroe,"300 Village Square Blvd, Honeoye Falls NY",42.951578,-77.603705,NY,14472-1180
1536,Cbc Restaurant,Franklin,"525 Short St, Columbus OH",39.950706,-83.003664,OH,43215-5614
1537,Cedar,Greene,"1438 E Olive St, Springfield MO",37.210283,-93.269584,MO,65802-3566
1538,Cedar - Newark,Licking,"144 N Cedar St, Newark OH",40.063812,-82.385935,OH,43055-6706
1539,Cedar Hills Vineyard & Gardens,Buffalo,"48970 375th Rd, Ravenna NE",41.03948,-98.831656,NE,68869-4019
1540,Cedar Springs Brewing Co,Kent,"21 E Maple, Cedarsprings MI",43.225417,-85.551124,MI,49319-5133
1541,Cedar Springs Brewing Company,Kent,"95 N Main, Cedar Springs MI",43.225266,-85.551207,MI,49319-5140
1542,Cee and Jay Tavern Inc,Hudson,"6800 Polk St, Guttenberg NJ",40.79562,-74.013485,NJ,07093-1823
1543,Cellar 3,San Diego,"12260 Crosthwaite Cir, Poway CA",32.940564,-117.033964,CA,92064-6882
1544,Cellar Brewing Co,Kent,"500 E Division St, Sparta MI",43.160646,-85.697491,MI,49345-9360
1545,Cellar Dweller,Warren,"2276 E Us Highway 22 And 3, Morrow OH",39.356875,-84.171139,OH,45152-9414
1546,Cellar Sports Bar The,Fulton,"1 West St, Gloversville NY",43.050812,-74.350544,NY,12078-2807
1547,Cellarmaker Brewing Company,San Francisco,"1150 Howard St, San Francisco CA",37.777056,-122.410565,CA,94103-3914
1548,Center Port Inc,Baltimore,"5507 Selma Ave, Halethorpe MD",39.247132,-76.692889,MD,21227-2802
1549,Central Brew,Middlesex,"350 Massachusetts Ave, Cambridge MA",42.362764,-71.099271,MA,02139-4107
1550,Central Coast Brewing,San Luis Obispo,"1422 Monterey St, San Luis Obispo CA",35.2857,-120.655256,CA,93401-2900
1551,Central Coca-cola Bottling Co,Allegany,"312 Greene St, Cumberland MD",39.650334,-78.771145,MD,21502-2840
1552,Central Maine Indian Association Inc,Penobscot,"132 N Main St, Brewer ME",44.795748,-68.764033,ME,04412-2012
1553,Central New York Glass Plus,Onondaga,"9230 Brewerton Rd, Brewerton NY",43.216584,-76.134416,NY,13029-8504
1554,Central Standard Brewing,Sedgwick,"156 S Greenwood, Wichita KS",37.684575,-97.318536,KS,67211-1815
1555,Central Street Farmhouse,Penobscot,"30 Central St, Bangor ME",44.802898,-68.771111,ME,04401-5106
1556,Central Waters Brewing Co,Portage,"351 Allen St, Amherst WI",44.442662,-89.279362,WI,54406-8954
1557,Cerebral Brewing,Denver,"1477 Monroe St, Denver CO",39.739743,-104.945062,CO,80206-2708
1558,Ces of Brewer Maine,Penobscot,"465 S Main St, Brewer ME",44.77484,-68.779267,ME,04412-2440
1559,Chafunkta Brewing Company,St. Tammany Parish,"21449 2 Marion Ln, Mandeville LA",30.425334,-90.044279,LA,70471
1560,Chainline Brewing Company,King,"503 6th St, Kirkland WA",47.678897,-122.19702,WA,98033
1561,Chalk Hill Estate Vineyards,Sonoma,"10300 Chalk Hill Rd, Healdsburg CA",38.565758,-122.773971,CA,95448-9558
1562,Chama River Brewing Co.,Bernalillo,"106 2nd St S W, Albuquerque NM",35.084244,-106.649242,NM,87102-3636
1563,Chambersburg Beverage,Franklin,"1500 Orchard Dr, Chambersburg PA",39.913558,-77.659562,PA,17201-4811
1564,Champale Brewing Co,Wayne,"300 River Place Dr, Detroit MI",42.33623,-83.016345,MI,48207-4224
1565,Champion Brewery,Charlottesville City,"324 6th St S E, Charlottesville VA",38.027694,-78.478739,VA,22902-5655
1566,Champions Liquor,,"6450 W Farm To Market 1960 Houston Tx 77069, Houston TX",29.89789,-95.43463,TX,77038
1567,Chances Lounge,Hudson,"1028 Broadway, Bayonne NJ",40.683035,-74.102105,NJ,07002-4153
1568,Chance's Lounge,Philadelphia,"5302 Market St, Philadelphia PA",39.96021,-75.226996,PA,19139-3316
1569,Chaos Brew Club,Cook,"2417 W Hubbard St, Chicago IL",41.889577,-87.687503,IL,60612-1417
1570,Chapman Brewing,Steuben,"300 Industrial Rd, Angola IN",41.648239,-85.002919,IN,46703-1053
1571,Chapman Crafted Beer,Orange,"123 N Cypress St, Orange CA",33.788442,-117.856361,CA,92866-1309
1572,Chapter Ii,La Crosse,"400 3rd St S, La Crosse WI",43.809748,-91.253487,WI,54601-4016
1573,Chardon Brewworks & Eatery,Geauga,"205 Main St, Chardon OH",41.582232,-81.204389,OH,44024-1243
